Date and Time;Stamp;Direction;Source;Destination;Message Id;Length;Status for Tx;Data;angularRate
23_02_21 12:05:59.442;0;I;1220;808;2100;4;;5b54e2bd;-0.11051245778799057
23_02_21 12:05:59.541;0;I;1220;808;2100;4;;7803ae3d;0.08496755361557007
23_02_21 12:05:59.703;0;I;1220;808;2100;4;;b9d32d3e;0.16975297033786774
23_02_21 12:05:59.806;0;I;1220;808;2100;4;;c7fa963d;0.07372050732374191
23_02_21 12:05:59.938;0;I;1220;808;2100;4;;dd3ababd;-0.09093258529901505
23_02_21 12:06:00.070;0;I;1220;808;2100;4;;010b8b3d;0.06789208203554153
23_02_21 12:06:00.202;0;I;1220;808;2100;4;;3794a73d;0.08182566612958908
23_02_21 12:06:00.335;0;I;1220;808;2100;4;;7484a13d;0.0788659155368805
23_02_21 12:06:00.466;0;I;1220;808;2100;4;;ae2bd1bd;-0.1021340936422348
23_02_21 12:06:00.599;0;I;1220;808;2100;4;;abacc4bd;-0.09603246301412582
23_02_21 12:06:00.731;0;I;1220;808;2100;4;;a7ccbebd;-0.09316378086805344
23_02_21 12:06:00.863;0;I;1220;808;2100;4;;c4b1ccbd;-0.09994843602180481
23_02_21 12:06:00.995;0;I;1220;808;2100;4;;3e16a63d;0.08109711110591888
23_02_21 12:06:01.126;0;I;1220;808;2100;4;;21d09e3d;0.0775454118847847
23_02_21 12:06:01.258;0;I;1220;808;2100;4;;1aaf993d;0.07504101097583771
23_02_21 12:06:01.390;0;I;1220;808;2100;4;;c0179f3d;0.0776820182800293
23_02_21 12:06:01.534;0;I;1220;808;2100;4;;3b51c1bd;-0.09439321607351303
23_02_21 12:06:01.653;0;I;1220;808;2100;4;;91a7bc3d;0.09211648255586624
23_02_21 12:06:01.784;0;I;1220;808;2100;4;;c070cd3d;0.10031270980834961
23_02_21 12:06:01.916;0;I;1220;808;2100;4;;626291bd;-0.07098843157291412
23_02_21 12:06:02.046;0;I;1220;808;2100;4;;421998bd;-0.07426692545413971
23_02_21 12:06:02.178;0;I;1220;808;2100;4;;5f5f9fbd;-0.0778186246752739
23_02_21 12:06:02.309;0;I;1220;808;2100;4;;665db83d;0.09002189338207245
23_02_21 12:06:02.440;0;I;1220;808;2100;4;;96a448c1;-12.540182113647461
23_02_21 12:06:31.987;0;I;1220;808;2100;4;;01c5b23d;0.08728981763124466
23_02_21 12:06:32.118;0;I;1220;808;2100;4;;8a7eec3c;0.028868932276964188
23_02_21 12:06:32.251;0;I;1220;808;2100;4;;62c30a3c;0.008469434455037117
23_02_21 12:06:32.378;0;I;1220;808;2100;4;;5076c33b;0.005965031683444977
23_02_21 12:06:32.508;0;I;1220;808;2100;4;;10e4d03b;0.006374843418598175
23_02_21 12:06:32.638;0;I;1220;808;2100;4;;54aff73b;0.007558742538094521
23_02_21 12:06:32.768;0;I;1220;808;2100;4;;e4d7d93b;0.006648050621151924
23_02_21 12:06:32.897;0;I;1220;808;2100;4;;9541ea3b;0.00714893126860261
23_02_21 12:06:33.029;0;I;1220;808;2100;4;;efa2223d;0.039706166833639145
23_02_21 12:06:33.158;0;I;1220;808;2100;4;;873d6dbc;-0.014480001293122768
23_02_21 12:06:33.288;0;I;1220;808;2100;4;;4d3d8fba;-0.00109283032361418
23_02_21 12:06:33.417;0;I;1220;808;2100;4;;57000d3c;0.008606038056313992
23_02_21 12:06:33.548;0;I;1220;808;2100;4;;a00c333c;0.010928303003311157
23_02_21 12:06:33.682;0;I;1220;808;2100;4;;830c843c;0.016119247302412987
23_02_21 12:06:33.807;0;I;1220;808;2100;4;;7839703c;0.014662139117717743
23_02_21 12:06:33.937;0;I;1220;808;2100;4;;b516943c;0.01807723380625248
23_02_21 12:06:34.068;0;I;1220;808;2100;4;;4d3d0f3c;0.00874264258891344
23_02_21 12:06:34.198;0;I;1220;808;2100;4;;abc7653b;0.0035061638336628675
23_02_21 12:06:34.328;0;I;1220;808;2100;4;;e820243b;0.00250440277159214
23_02_21 12:06:34.505;0;I;1220;808;2100;4;;10e4d03b;0.006374843418598175
23_02_21 12:06:34.587;0;I;1220;808;2100;4;;a78eb13b;0.005418616812676191
23_02_21 12:06:34.717;0;I;1220;808;2100;4;;75f8703c;0.014707674272358418
23_02_21 12:06:34.849;0;I;1220;808;2100;4;;a00c333c;0.010928303003311157
23_02_21 12:06:34.978;0;I;1220;808;2100;4;;e0ff9e3e;0.3105459213256836
23_02_21 12:06:35.109;0;I;1220;808;2100;4;;6a60aa3d;0.08319170773029327
23_02_21 12:06:35.238;0;I;1220;808;2100;4;;7c82ba3c;0.02276729792356491
23_02_21 12:06:35.369;0;I;1220;808;2100;4;;ae10b03b;0.005373082123696804
23_02_21 12:06:35.500;0;I;1220;808;2100;4;;3e39923b;0.004462390206754208
23_02_21 12:06:35.631;0;I;1220;808;2100;4;;864d833b;0.004007044248282909
23_02_21 12:06:35.760;0;I;1220;808;2100;4;;132d1b3b;0.002367798937484622
23_02_21 12:06:35.890;0;I;1220;808;2100;4;;4d3d0fba;-0.00054641516180709
23_02_21 12:06:36.020;0;I;1220;808;2100;4;;d087b9be;-0.3623642921447754
23_02_21 12:06:36.149;0;I;1220;808;2100;4;;b2d514bd;-0.03633660823106766
23_02_21 12:06:36.280;0;I;1220;808;2100;4;;d91ca73b;0.005099874455481768
23_02_21 12:06:36.408;0;I;1220;808;2100;4;;ceba22be;-0.15891572833061218
23_02_21 12:06:36.539;0;I;1220;808;2100;4;;623fa53c;0.02017182484269142
23_02_21 12:06:36.668;0;I;1220;808;2100;4;;493a1dbe;-0.1535426527261734
23_02_21 12:06:36.798;0;I;1220;808;2100;4;;f3dbd63c;0.026227926835417747
23_02_21 12:06:36.928;0;I;1220;808;2100;4;;da14dc3c;0.026865411549806595
23_02_21 12:06:37.057;0;I;1220;808;2100;4;;a445673c;0.014115724712610245
23_02_21 12:06:37.185;0;I;1220;808;2100;4;;8a86373c;0.011201510205864906
23_02_21 12:06:37.315;0;I;1220;808;2100;4;;faa32dbe;-0.16957083344459534
23_02_21 12:06:37.444;0;I;1220;808;2100;4;;6a35f33b;0.007422138936817646
23_02_21 12:06:37.572;0;I;1220;808;2100;4;;8645383c;0.011247044429183006
23_02_21 12:06:37.703;0;I;1220;808;2100;4;;29b3963c;0.018395977094769478
23_02_21 12:06:37.831;0;I;1220;808;2100;4;;f2e3213c;0.009881006553769112
23_02_21 12:06:37.960;0;I;1220;808;2100;4;;c0b625be;-0.16182994842529297
23_02_21 12:06:38.090;0;I;1220;808;2100;4;;d292dd3c;0.027047548443078995
23_02_21 12:06:38.221;0;I;1220;808;2100;4;;09deec3c;0.028914468362927437
23_02_21 12:06:38.351;0;I;1220;808;2100;4;;e8a4093d;0.03360453248023987
23_02_21 12:06:38.479;0;I;1220;808;2100;4;;9110013d;0.03150993958115578
23_02_21 12:06:38.610;0;I;1220;808;2100;4;;1e64e83c;0.02836805209517479
