Date and Time;Stamp;Direction;Source;Destination;Message Id;Length;Status for Tx;Data;regular1_data.mag.x;regular1_data.mag.y;regular1_data.mag.z;temperature1;temperature2
23_03_21 11:34:27.981;0;I;1008;808;2903;20;;5b604a457e0a09c8ec093246d05408420000ef41;3238.022216796875;-140329.96875;11394.48046875;34.08282470703125;29.875
23_03_21 11:34:28.082;0;I;1008;808;2903;20;;8a6f4a45590a09c862183246d05408420000ef41;3238.97119140625;-140329.390625;11398.095703125;34.08282470703125;29.875
23_03_21 11:34:28.187;0;I;1008;808;2903;20;;c38c4a45f30a09c8a6fd3146d05408420000ef41;3240.797607421875;-140331.796875;11391.412109375;34.08282470703125;29.875
23_03_21 11:34:28.294;0;I;1008;808;2903;20;;0cbf4a45e90b09c8eeeb31464a8500420000ef41;3243.9404296875;-140335.640625;11386.982421875;32.130165100097656;29.875
23_03_21 11:34:28.390;0;I;1008;808;2903;20;;adf34a45540c09c83ee631464a8500420000ef41;3247.229736328125;-140337.3125;11385.560546875;32.130165100097656;29.875
23_03_21 11:34:28.492;0;I;1008;808;2903;20;;a81a4b45b20c09c839f331464a8500420000ef41;3249.666015625;-140338.78125;11388.8056640625;32.130165100097656;29.875
23_03_21 11:34:28.597;0;I;1008;808;2903;20;;4a444b45680d09c8c11032464a8500420000ef41;3252.26806640625;-140341.625;11396.1884765625;32.130165100097656;29.875
23_03_21 11:34:28.703;0;I;1008;808;2903;20;;e8694b45e60d09c8f20d32464a8500420000ef41;3254.619140625;-140343.59375;11395.486328125;32.130165100097656;29.875
23_03_21 11:34:28.803;0;I;1008;808;2903;20;;43694b45ef0e09c815f531464a8500420000ef41;3254.578857421875;-140347.734375;11389.2705078125;32.130165100097656;29.875
23_03_21 11:34:28.902;0;I;1008;808;2903;20;;02654b45520f09c8aef631464a8500420000ef41;3254.31298828125;-140349.28125;11389.669921875;32.130165100097656;29.875
23_03_21 11:34:29.002;0;I;1008;808;2903;20;;486b4b45b30f09c8e60332464a8500420000ef41;3254.705078125;-140350.796875;11392.974609375;32.130165100097656;29.875
23_03_21 11:34:29.102;0;I;1008;808;2903;20;;89694b459a0f09c8860432464a8500420000ef41;3254.595947265625;-140350.40625;11393.130859375;32.130165100097656;29.875
23_03_21 11:34:29.216;0;I;1008;808;2903;20;;106d4b45c60f09c859e931464a8500420000ef41;3254.81640625;-140351.09375;11386.3369140625;32.130165100097656;29.875
23_03_21 11:34:29.305;0;I;1008;808;2903;20;;64634b459f0f09c8dad031460d6d04420000ef41;3254.2119140625;-140350.484375;11380.212890625;33.10649490356445;29.875
23_03_21 11:34:29.411;0;I;1008;808;2903;20;;aa5e4b45890f09c846ca31460d6d04420000ef41;3253.91650390625;-140350.140625;11378.568359375;33.10649490356445;29.875
23_03_21 11:34:29.516;0;I;1008;808;2903;20;;b0574b45730f09c861cd31460d6d04420000ef41;3253.48046875;-140349.796875;11379.3447265625;33.10649490356445;29.875
23_03_21 11:34:29.616;0;I;1008;808;2903;20;;36544b45660f09c826d331460d6d04420000ef41;3253.26318359375;-140349.59375;11380.787109375;33.10649490356445;29.875
23_03_21 11:34:29.718;0;I;1008;808;2903;20;;95484b45170f09c820e531460d6d04420000ef41;3252.536376953125;-140348.359375;11385.28125;33.10649490356445;29.875
23_03_21 11:34:29.817;0;I;1008;808;2903;20;;513e4b45260f09c8c2de31460d6d04420000ef41;3251.894775390625;-140348.59375;11383.689453125;33.10649490356445;29.875
23_03_21 11:34:29.920;0;I;1008;808;2903;20;;59394b45590f09c82cd631460d6d04420000ef41;3251.584228515625;-140349.390625;11381.54296875;33.10649490356445;29.875
23_03_21 11:34:30.021;0;I;1008;808;2903;20;;c5314b454b0f09c88ccf31460d6d04420000ef41;3251.110595703125;-140349.171875;11379.88671875;33.10649490356445;29.875
23_03_21 11:34:30.121;0;I;1008;808;2903;20;;14284b450c0f09c8f7cd31460d6d04420000ef41;3250.5048828125;-140348.1875;11379.4912109375;33.10649490356445;29.875
23_03_21 11:34:30.220;0;I;1008;808;2903;20;;cf2d4b456c0f09c847d031460d6d04420000ef41;3250.863037109375;-140349.6875;11380.0693359375;33.10649490356445;29.875
23_03_21 11:34:30.321;0;I;1008;808;2903;20;;59344b45930f09c81ed531460d6d04420000ef41;3251.271728515625;-140350.296875;11381.279296875;33.10649490356445;29.875
23_03_21 11:34:30.422;0;I;1008;808;2903;20;;6a384b45ad0f09c8d2de31460d6d04420000ef41;3251.52587890625;-140350.703125;11383.705078125;33.10649490356445;29.875
23_03_21 11:34:30.527;0;I;1008;808;2903;20;;7f364b459b0f09c86de031460d6d04420000ef41;3251.406005859375;-140350.421875;11384.1064453125;33.10649490356445;29.875
23_03_21 11:34:30.630;0;I;1008;808;2903;20;;cc334b45890f09c82ed131460d6d04420000ef41;3251.2373046875;-140350.140625;11380.294921875;33.10649490356445;29.875
23_03_21 11:34:30.736;0;I;1008;808;2903;20;;162c4b45460f09c81dca31460d6d04420000ef41;3250.75537109375;-140349.09375;11378.5283203125;33.10649490356445;29.875
23_03_21 11:34:30.836;0;I;1008;808;2903;20;;ff244b45f40e09c864bc31460d6d04420000ef41;3250.312255859375;-140347.8125;11375.09765625;33.10649490356445;29.875
23_03_21 11:34:30.937;0;I;1008;808;2903;20;;82244b45ea0e09c83fb531460d6d04420000ef41;3250.28173828125;-140347.65625;11373.3115234375;33.10649490356445;29.875
23_03_21 11:34:31.037;0;I;1008;808;2903;20;;cd1f4b45c90e09c82eae31460d6d04420000ef41;3249.987548828125;-140347.140625;11371.544921875;33.10649490356445;29.875
23_03_21 11:34:31.138;0;I;1008;808;2903;20;;5e294b45c20e09c8e6b431460d6d04420000ef41;3250.58544921875;-140347.03125;11373.224609375;33.10649490356445;29.875
23_03_21 11:34:31.237;0;I;1008;808;2903;20;;692a4b45bf0e09c870b331464eba05420000ef41;3250.650634765625;-140346.984375;11372.859375;33.43193817138672;29.875
23_03_21 11:34:31.345;0;I;1008;808;2903;20;;b3374b45f30e09c8efb131464eba05420000ef41;3251.481201171875;-140347.796875;11372.4833984375;33.43193817138672;29.875
23_03_21 11:34:31.451;0;I;1008;808;2903;20;;4a414b45df0e09c834b831464eba05420000ef41;3252.08056640625;-140347.484375;11374.05078125;33.43193817138672;29.875
23_03_21 11:34:31.551;0;I;1008;808;2903;20;;dc424b45d30e09c8fabf31464eba05420000ef41;3252.1787109375;-140347.296875;11375.994140625;33.43193817138672;29.875
