Date and Time;Stamp;Direction;Source;Destination;Message Id;Length;Status for Tx;Data;angularRate
23_02_14 11:26:01.996;971;I;1220;808;2100;4;;6d7ebd3b;0.005782893393188715
23_02_14 11:26:02.143;975;I;1220;808;2100;4;;fcf4293e;0.16597360372543335
23_02_14 11:26:02.290;979;I;1220;808;2100;4;;f3db56bb;-0.0032784908544272184
23_02_14 11:26:02.383;983;I;1220;808;2100;4;;dd5d26bc;-0.010154214687645435
23_02_14 11:26:02.524;987;I;1220;808;2100;4;;c0552cbc;-0.010518491268157959
23_02_14 11:26:02.649;991;I;1220;808;2100;4;;e4638abc;-0.016893334686756134
23_02_14 11:26:02.769;995;I;1220;808;2100;4;;2cf4153e;0.14643925428390503
23_02_14 11:26:02.897;999;I;1220;808;2100;4;;d44c1e3e;0.1545899510383606
23_02_14 11:26:03.027;1003;I;1220;808;2100;4;;ef9ad7bc;-0.026318995282053947
23_02_14 11:26:03.156;1007;I;1220;808;2100;4;;25e6e6bc;-0.02818591333925724
23_02_14 11:26:03.284;1011;I;1220;808;2100;4;;3025ffbc;-0.03114566206932068
23_02_14 11:26:03.429;1015;I;1220;808;2100;4;;e196dabc;-0.026683272793889046
23_02_14 11:26:03.542;1019;I;1220;808;2100;4;;3b0be9bd;-0.11379095166921616
23_02_14 11:26:03.673;1023;I;1220;808;2100;4;;d6db27bc;-0.01024528406560421
23_02_14 11:26:03.801;1027;I;1220;808;2100;4;;7fa0cdbd;-0.10040377825498581
23_02_14 11:26:03.935;1031;I;1220;808;2100;4;;694589bb;-0.004189182538539171
23_02_14 11:26:04.059;1035;I;1220;808;2100;4;;784986bb;-0.004098113626241684
23_02_14 11:26:04.215;1039;I;1220;808;2100;4;;17c7c8bd;-0.09803598374128342
23_02_14 11:26:04.331;1043;I;1220;808;2100;4;;10e450bb;-0.0031874217092990875
23_02_14 11:26:04.449;1047;I;1220;808;2100;4;;98ebadbd;-0.08492201566696167
23_02_14 11:26:04.580;1051;I;1220;808;2100;4;;42d33f3e;0.18732932209968567
23_02_14 11:26:04.709;1055;I;1220;808;2100;4;;63b3f43a;0.0018669184064492583
23_02_14 11:26:04.837;1059;I;1220;808;2100;4;;1766cf3b;0.006329308729618788
23_02_14 11:26:04.964;1063;I;1220;808;2100;4;;5b410c3c;0.008560503832995892
23_02_14 11:26:05.094;1067;I;1220;808;2100;4;;bc14ad3b;0.0052820127457380295
23_02_14 11:26:05.223;1071;I;1220;808;2100;4;;8304393b;0.0028231448959559202
23_02_14 11:26:05.367;1075;I;1220;808;2100;4;;3f29fc3b;0.007695346605032682
23_02_14 11:26:05.506;1079;I;1220;808;2100;4;;54daaebd;-0.08537736535072327
23_02_14 11:26:05.656;1083;I;1220;808;2100;4;;37332ebd;-0.042529311031103134
23_02_14 11:26:05.759;1087;I;1220;808;2100;4;;f3957ebd;-0.06215472146868706
23_02_14 11:26:05.866;1091;I;1220;808;2100;4;;9541ea3d;0.11438290029764175
23_02_14 11:26:05.995;1095;I;1220;808;2100;4;;c71d83bd;-0.06402163952589035
23_02_14 11:26:06.132;1099;I;1220;808;2100;4;;13c4d63d;0.10486616939306259
23_02_14 11:26:06.253;1103;I;1220;808;2100;4;;c37b8abd;-0.06761886924505234
23_02_14 11:26:06.383;1107;I;1220;808;2100;4;;b5b59abd;-0.0755418911576271
23_02_14 11:26:06.532;1111;I;1220;808;2100;4;;b947fd3c;0.03091798909008503
23_02_14 11:26:06.646;1115;I;1220;808;2100;4;;6945093b;0.0020945912692695856
23_02_14 11:26:06.768;1119;I;1220;808;2100;4;;cb18aabb;-0.005190943833440542
23_02_14 11:26:06.896;1123;I;1220;808;2100;4;;cb9c8fbc;-0.01753081940114498
23_02_14 11:26:07.025;1127;I;1220;808;2100;4;;f3dbd6bb;-0.006556981708854437
23_02_14 11:26:07.167;1131;I;1220;808;2100;4;;13a935be;-0.1774027794599533
