Date and Time;Stamp;Direction;Source;Destination;Message Id;Length;Status for Tx;Data;Id;Iq
23_02_14 11:49:47.525;46132;I;1210;808;2106;8;;404528babb9c50b9;-0.000641901046037674;-0.00019894812430720776
23_02_14 11:49:47.658;46132;I;1210;808;2106;8;;227a273a30f45539;0.0006388743640854955;0.00020404229871928692
23_02_14 11:49:47.781;46132;I;1210;808;2106;8;;6c18023a70bcebb9;0.000496274558827281;-0.00044963089749217033
23_02_14 11:49:47.909;46132;I;1210;808;2106;8;;de7d823a70126dba;0.0009955724235624075;-0.0009043579921126366
23_02_14 11:49:48.048;46132;I;1210;808;2106;8;;137f12b936952cba;-0.0001397098385496065;-0.0006583513459190726
23_02_14 11:49:48.165;46132;I;1210;808;2106;8;;158327baf78355b9;-0.0006390077178366482;-0.00020362423674669117
23_02_14 11:49:48.293;46132;I;1210;808;2106;8;;a4aa15b9363f2bba;-0.00014273315900936723;-0.0006532551487907767
23_02_14 11:49:48.422;46132;I;1210;808;2106;8;;ee0d1639c6392b3a;0.00014310303959064186;0.0006531741237267852
23_02_14 11:49:48.549;46132;I;1210;808;2106;8;;a4aa15b9363f2bba;-0.00014273315900936723;-0.0006532551487907767
23_02_14 11:49:48.685;46132;I;1210;808;2106;8;;50e3023a6f68eeb9;0.0004992978647351265;-0.0004547270655166358
23_02_14 11:49:48.804;46132;I;1210;808;2106;8;;617aa7ba1cf1d5b9;-0.001277756062336266;-0.00040806166362017393
23_02_14 11:49:48.932;46132;I;1210;808;2106;8;;9663ccba826ce1ba;-0.0015593643765896559;-0.0017198475543409586
23_02_14 11:49:49.073;46132;I;1210;808;2106;8;;617aa7ba1cf1d5b9;-0.001277756062336266;-0.00040806166362017393
23_02_14 11:49:49.187;46132;I;1210;808;2106;8;;08fe4bba721762ba;-0.0007781689055263996;-0.0008624709444120526
23_02_14 11:49:49.315;46132;I;1210;808;2106;8;;64d694ba8b5a8039;-0.0011355397291481495;0.00024481522268615663
23_02_14 11:49:49.442;46132;I;1210;808;2106;8;;08fe4bba721762ba;-0.0007781689055263996;-0.0008624709444120526
23_02_14 11:49:49.571;46132;I;1210;808;2106;8;;08fe4bba721762ba;-0.0007781689055263996;-0.0008624709444120526
23_02_14 11:49:49.706;46132;I;1210;808;2106;8;;08fe4bba721762ba;-0.0007781689055263996;-0.0008624709444120526
23_02_14 11:49:49.824;46132;I;1210;808;2106;8;;c4f5e83a164342b8;0.0017773439176380634;-4.631568299373612e-05
23_02_14 11:49:49.951;46132;I;1210;808;2106;8;;0000008000000080;-0.0;-0.0
23_02_14 11:49:50.078;46132;I;1210;808;2106;8;;40c81139e39e2c3a;0.00013902876526117325;0.0006584955262951553
23_02_14 11:49:50.205;46132;I;1210;808;2106;8;;0e2511b97ba72cba;-0.00013842081534676254;-0.0006586235831491649
23_02_14 11:49:50.336;46132;I;1210;808;2106;8;;282c02bad890eb39;-0.0004965686239302158;0.0004493060987442732
23_02_14 11:49:50.459;46132;I;1210;808;2106;8;;700b12b9569b2cba;-0.00013927905820310116;-0.0006584426155313849
23_02_14 11:49:50.585;46132;I;1210;808;2106;8;;fe1e033a23e5edb9;0.0005001871613785625;-0.00045374882756732404
23_02_14 11:49:50.730;46132;I;1210;808;2106;8;;282c023ad890ebb9;0.0004965686239302158;-0.0004493060987442732
23_02_14 11:49:50.840;46132;I;1210;808;2106;8;;227a273a30f45539;0.0006388743640854955;0.00020404229871928692
23_02_14 11:49:50.970;46132;I;1210;808;2106;8;;6770273ae36d5639;0.00063872936880216;0.0002044956636382267
23_02_14 11:49:51.095;46132;I;1210;808;2106;8;;1bc84cba84c260ba;-0.0007811800460331142;-0.000857390696182847
23_02_14 11:49:51.223;46132;I;1210;808;2106;8;;fc7fbc394ae591ba;0.0003595351008698344;-0.0011130955535918474
23_02_14 11:49:51.350;46132;I;1210;808;2106;8;;1bc84cba84c260ba;-0.0007811800460331142;-0.000857390696182847
23_02_14 11:49:51.478;46132;I;1210;808;2106;8;;e837153978452b3a;0.00014230574015527964;0.0006533483974635601
23_02_14 11:49:51.605;46132;I;1210;808;2106;8;;0000008000000080;-0.0;-0.0
23_02_14 11:49:51.737;46132;I;1210;808;2106;8;;9752bb39e13191ba;0.0003572895366232842;-0.0011077487142756581
23_02_14 11:49:51.870;46132;I;1210;808;2106;8;;b72e27baea9b59b9;-0.0006377505487762392;-0.00020752815180458128
23_02_14 11:49:51.991;46132;I;1210;808;2106;8;;a6450eb9b8cd2cba;-0.00013568121357820928;-0.0006591933779418468
23_02_14 11:49:52.128;46132;I;1210;808;2106;8;;1b8d4bbaf2df61ba;-0.0007764861802570522;-0.0008616439299657941
23_02_14 11:49:52.248;46132;I;1210;808;2106;8;;a8224cbad25861ba;-0.0007787146605551243;-0.0008596304105594754
23_02_14 11:49:52.378;46132;I;1210;808;2106;8;;4e9d033a7bcdecb9;0.0005020693643018603;-0.00045166522613726556
23_02_14 11:49:52.506;46132;I;1210;808;2106;8;;c654623acc48ccba;0.0008633848046883941;-0.0015585660003125668
