Date and Time;Stamp;Direction;Source;Destination;Message Id;Length;Status for Tx;Data;direction.x;direction.y;direction.z;invalidFlag;mcuTemperature
23_03_14 14:37:44.793;0;I;C08;808;22A6;26;;0000000000000000000000000000000000000000000000000121;0.0;0.0;0.0;True;33
23_03_14 14:37:44.893;0;I;C08;808;22A6;26;;0000000000000000000000000000000000000000000000000122;0.0;0.0;0.0;True;34
23_03_14 14:37:44.995;0;I;C08;808;22A6;26;;0000000000000000000000000000000000000000000000000121;0.0;0.0;0.0;True;33
23_03_14 14:37:45.093;0;I;C08;808;22A6;26;;0000000000000000000000000000000000000000000000000121;0.0;0.0;0.0;True;33
23_03_14 14:37:45.194;0;I;C08;808;22A6;26;;0000000000000000000000000000000000000000000000000122;0.0;0.0;0.0;True;34
23_03_14 14:37:45.292;0;I;C08;808;22A6;26;;0000000000000000000000000000000000000000000000000122;0.0;0.0;0.0;True;34
23_03_14 14:37:45.394;0;I;C08;808;22A6;26;;0000000000000000000000000000000000000000000000000121;0.0;0.0;0.0;True;33
23_03_14 14:37:45.493;0;I;C08;808;22A6;26;;0000000000000000000000000000000000000000000000000120;0.0;0.0;0.0;True;32
23_03_14 14:37:45.596;0;I;C08;808;22A6;26;;0000000000000000000000000000000000000000000000000120;0.0;0.0;0.0;True;32
23_03_14 14:37:45.695;0;I;C08;808;22A6;26;;0000000000000000000000000000000000000000000000000122;0.0;0.0;0.0;True;34
23_03_14 14:37:45.794;0;I;C08;808;22A6;26;;0000000000000000000000000000000000000000000000000121;0.0;0.0;0.0;True;33
23_03_14 14:37:45.895;0;I;C08;808;22A6;26;;0000000000000000000000000000000000000000000000000122;0.0;0.0;0.0;True;34
23_03_14 14:37:45.994;0;I;C08;808;22A6;26;;0000000000000000000000000000000000000000000000000121;0.0;0.0;0.0;True;33
23_03_14 14:37:46.094;0;I;C08;808;22A6;26;;0000000000000000000000000000000000000000000000000121;0.0;0.0;0.0;True;33
23_03_14 14:37:46.195;0;I;C08;808;22A6;26;;0000000000000000000000000000000000000000000000000122;0.0;0.0;0.0;True;34
23_03_14 14:37:46.295;0;I;C08;808;22A6;26;;0000000000000000000000000000000000000000000000000121;0.0;0.0;0.0;True;33
23_03_14 14:37:46.393;0;I;C08;808;22A6;26;;0000000000000000000000000000000000000000000000000121;0.0;0.0;0.0;True;33
23_03_14 14:37:46.493;0;I;C08;808;22A6;26;;0000000000000000000000000000000000000000000000000122;0.0;0.0;0.0;True;34
23_03_14 14:37:46.593;0;I;C08;808;22A6;26;;0000000000000000000000000000000000000000000000000121;0.0;0.0;0.0;True;33
23_03_14 14:37:46.694;0;I;C08;808;22A6;26;;0000000000000000000000000000000000000000000000000121;0.0;0.0;0.0;True;33
23_03_14 14:37:46.794;0;I;C08;808;22A6;26;;0000000000000000000000000000000000000000000000000121;0.0;0.0;0.0;True;33
23_03_14 14:37:46.893;0;I;C08;808;22A6;26;;0000000000000000000000000000000000000000000000000121;0.0;0.0;0.0;True;33
23_03_14 14:37:46.994;0;I;C08;808;22A6;26;;0000000000000000000000000000000000000000000000000121;0.0;0.0;0.0;True;33
23_03_14 14:37:47.097;0;I;C08;808;22A6;26;;0000000000000000000000000000000000000000000000000120;0.0;0.0;0.0;True;32
23_03_14 14:37:47.195;0;I;C08;808;22A6;26;;0000000000000000000000000000000000000000000000000121;0.0;0.0;0.0;True;33
23_03_14 14:37:47.294;0;I;C08;808;22A6;26;;0000000000000000000000000000000000000000000000000122;0.0;0.0;0.0;True;34
23_03_14 14:37:47.394;0;I;C08;808;22A6;26;;0000000000000000000000000000000000000000000000000122;0.0;0.0;0.0;True;34
